 Rank , Player Name ,Position ,Team , Bye Week ,Best Rank , Worst Rank , Avg Rank , Std Dev ,ADP 
85,Kevin White,WR37,CHI,9,57,147,87.28070175,17.45043546,81
86,Tom Brady,QB10,NE,9,36,163,87.03571429,26.46423752,72
87,Marvin Jones,WR38,DET,10,50,117,87.76785714,15.93624695,92
88,Gary Barnidge,TE8,CLE,13,50,125,90.9122807,16.45224957,83
89,T.J. Yeldon,RB33,JAC,5,35,126,89,19.35292521,84
90,Philip Rivers,QB11,SD,11,60,129,91.375,16.0563322,105
91,Rashad Jennings,RB34,NYG,8,58,177,94.31578947,19.93688101,99
92,Zach Ertz,TE9,PHI,4,73,149,97.47368421,15.26043533,93
93,Ladarius Green,TE10,PIT,8,60,169,98.05263158,21.49616127,89
94,Julius Thomas,TE11,JAC,5,53,149,98.70175439,16.6058169,103
95,Justin Forsett,RB35,BAL,8,49,197,101.9824561,23.3038595,88
96,DeAngelo Williams,RB36,PIT,8,46,163,104.0526316,29.41560694,108
97,Torrey Smith,WR39,SF,8,63,184,105.6666667,23.12311317,122
98,Tony Romo,QB12,DAL,7,58,167,103.9821429,23.74002879,96
99,Corey Coleman,WR40,CLE,13,60,187,100.5185185,22.02670159,101
100,Antonio Gates,TE12,SD,11,75,137,106.0526316,14.96126115,120
101,Willie Snead,WR41,NO,5,77,187,104.3928571,18.16362001,118
102,Charles Sims,RB37,TB,6,67,172,106.5535714,22.7728846,116
103,Arian Foster,RB38,MIA,8,52,161,101.7358491,23.50764704,123
104,Derek Carr,QB13,OAK,10,49,150,107.8035714,19.32930754,111
105,Markus Wheaton,WR42,PIT,8,66,166,110.9649123,17.61475151,107
106,Dorial Green-Beckham,WR43,TEN,13,60,194,113.5614035,24.37068813,110
107,Vincent Jackson,WR44,TB,6,79,177,114,19.63616427,130
108,Tavon Austin,WR45,LA,8,52,160,112.5892857,21.31463011,121
109,Sterling Shepard,WR46,NYG,8,70,182,108.0566038,20.04562258,95
110,Isaiah Crowell,RB39,CLE,13,74,174,111.9454545,19.64079075,117
111,Andy Dalton,QB14,CIN,9,65,181,115.4107143,22.27729208,119
112,Steve Smith,WR47,BAL,8,57,197,117.1754386,25.3571837,98
113,Stefon Diggs,WR48,MIN,6,68,179,116.8928571,19.10280325,106
114,Kirk Cousins,QB15,WAS,9,73,181,115.4545455,24.34809545,124
115,Laquon Treadwell,WR49,MIN,6,64,194,113.9444444,23.01562808,113
116,Derrick Henry,RB40,TEN,13,67,177,114.7037037,24.04981684,100
117,Jameis Winston,QB16,TB,6,65,193,118.3928571,20.58143978,135
118,Tyrod Taylor,QB17,BUF,10,73,167,119.0357143,18.31467433,146
119,Travis Benjamin,WR50,SD,11,67,179,119.9107143,20.56807233,126
